module,type,name,res_id,src,value,comments
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57408;""/>
                                        <strong>Import a file</strong><br/>
                                        <span class=""small"">Recommended if &gt;100 products</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57408;""/>
                                        <strong>Import</strong><br/>
                                        <span class=""small"">&gt; 200 contacts</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57440;""/>
                                        <strong> Create manually</strong><br/>
                                        <span class=""small"">&lt; 200 contacts</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <span class=""fa"" data-icon=""&#57440;""/>
                                        <strong> Create manually</strong><br/>
                                        <span class=""small"">Recommended if &lt;100 products</span>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Accountant</strong> (Advanced access)
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Advisor</strong> (Full access)
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Billing</strong> (Limited access)
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Customer follow-up</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Invoice payment by Check</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Invoice payment by Wire Transfer</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Pay your bills</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Reconcile Bank Statements</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_planner,"<span class=""panel-title"">
                                        <strong>Record your Bills</strong>
                                    </span>",,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Balance in Odoo"">Balance in GL</span>",,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,"<span title=""Latest Statement"">Latest Statement</span>",,
account,model,"ir.ui.view,arch_db",account.view_account_position_form,<span> From </span>,,
account,model,"ir.ui.view,arch_db",account.view_account_position_form,<span> To </span>,,
account,model,"ir.ui.view,arch_db",account.view_account_config_settings,<span>(*) This configuration is related to the company you're logged into.</span>,,
account,model,"ir.ui.view,arch_db",account.account_invoice_report_duplicate,<span>Duplicate</span>,,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Bill</span>,,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New Invoice</span>,,
account,model,"ir.ui.view,arch_db",account.account_journal_dashboard_kanban_view,<span>New</span>,,
account,model,"ir.ui.view,arch_db",account.report_agedpartnerbalance,<span>Not due</span>,,
